Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost Volume,-57.41387213654535,-58.5216147820153,-5.1208793538376405
Rule-based Volume,-60.761096440077054,-60.81217234795715,-3.694926690883981
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
