Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost SMA,-32.797347680190256,-34.73755156628372,-2.5983394840317184
Rule-based SMA,-75.8325750363821,-80.90129070559998,-3.3118257136917326
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
