Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost RSI,-11.488611602809106,-11.778432194131893,-1.606764002392347
Rule-based RSI,-34.93831464696373,-53.20976381505454,-0.7320228586665074
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
