timestamp,close,SMA_10,SMA_20,SMA_50,price_to_SMA_10,price_to_SMA_20,price_to_SMA_50,SMA_10_over_20,SMA_20_over_50,SMA_10_slope_3,SMA_20_slope_3,SMA_50_slope_3,zscore_price_to_SMA_20,target
2020-01-03 01:00:00,126.04,127.268,128.4535,129.8604,-0.009648929817393181,-0.018788900263519315,-0.029419284092764175,-0.009229020618355954,-0.010833941678910608,-0.006254440965417205,-0.0030965639005842284,-0.0010492565970855357,-1.8862360948993704,1
2020-01-03 02:00:00,126.92,127.2,128.3285,129.8214,-0.002201257861635275,-0.010975738047277028,-0.02234916585401181,-0.008793837689990869,-0.011499644896758365,-0.00510742806191479,-0.0033279744013918764,-0.0010849291795164688,-1.0817472107621053,0
2020-01-03 03:00:00,126.89,127.149,128.20999999999998,129.7464,-0.0020369802357863565,-0.010295608766866748,-0.02201525437314633,-0.008275485531549664,-0.011841561692655933,-0.0037140640793587656,-0.0032884252097051445,-0.0013577293592810578,-0.9995924632707456,1
2020-01-03 04:00:00,129.3,127.33,128.1645,129.71540000000002,0.015471609204429582,0.008859707641351688,-0.0032023953979249953,-0.006511163387677543,-0.011956174825811017,0.00048716095169247265,-0.0022498413822899903,-0.0011165836544472512,0.8994790643240403,0
2020-01-03 05:00:00,129.21,127.489,128.126,129.69559999999998,0.013499203852881392,0.008460421772317872,-0.003744151690573738,-0.004971668513806704,-0.012102183882876316,0.002272012578616364,-0.0015779815083943659,-0.0009690235970342836,0.8922064385331752,0
2020-01-03 06:00:00,129.17,127.69000000000001,128.0985,129.675,0.011590570913931897,0.008364656885131216,-0.0038943512627724886,-0.0031889522515875512,-0.012157316367842785,0.0042548506083414815,-0.0008696669526556289,-0.0005503042858991295,0.9059122587548851,0
2020-01-03 07:00:00,128.86,127.804,128.065,129.6462,0.00826265218616018,0.006207785109124453,-0.006064196251027609,-0.0020380275641275203,-0.012196269539716531,0.0037226105395429493,-0.0007763460240550709,-0.0005334755934917786,0.6918359393277349,1
2020-01-03 08:00:00,132.15,128.28000000000003,128.1745,129.68040000000002,0.03016838166510749,0.031016309796410457,0.01904374138266074,0.000823096637787124,-0.01161239477978182,0.0062044568551014225,0.0003785336309569486,-0.00011719749937518757,2.8131286352899276,1
2020-01-03 09:00:00,132.35,128.796,128.3245,129.7226,0.02759402465915084,0.03136969168007653,0.020253988125430666,0.0036742788789356773,-0.01077761315298953,0.008661602318114027,0.0017642673411476255,0.0003670715249661734,2.39785991591383,0
2020-01-03 10:00:00,132.04,129.29299999999998,128.45800000000003,129.75619999999998,0.02124631650592068,0.02788460041414287,0.017600700390424606,0.006500179046847521,-0.0100049169134111,0.011650652561734968,0.003068754148284302,0.0008484629707618521,1.9233017078953778,1
2020-01-03 11:00:00,132.46,129.935,128.60150000000002,129.802,0.019432793319736907,0.03000353806137568,0.02047734241383048,0.010369241416313013,-0.009248701869000286,0.012901465544122017,0.0033313958704736194,0.0009376898899137601,1.8777445230871643,0
2020-01-03 12:00:00,132.23,130.466,128.83300000000003,129.8326,0.013520764030475307,0.026367467962400637,0.01846531610704849,0.01267532386888437,-0.007699144898892785,0.012966241187614646,0.003962610413444248,0.0008479632693147813,1.5495123975284875,1
2020-01-03 13:00:00,133.54,131.131,129.14000000000001,129.8886,0.018370942035064175,0.03407155025553643,0.028111781942372183,0.015417376490630241,-0.005763400329205082,0.014215773475749056,0.005309128275389527,0.0010203751342904486,1.8325381334115813,0
2020-01-03 14:00:00,131.68,131.369,129.3495,129.89,0.0023673773873593706,0.01801707776218686,0.013780891523597072,0.015612739129258202,-0.0041612133343597035,0.01103628737445644,0.005816417382378824,0.0006779556555368474,0.9582288242746003,1
2020-01-03 15:00:00,132.53,131.701,129.595,129.907,0.006294561165063328,0.022647478683591293,0.020191367670718163,0.016250626953200342,-0.002401718152216681,0.009466067787776011,0.005914633673049389,0.0005730455987170951,1.1762044156429625,1
2020-01-03 16:00:00,133.51,132.135,129.9125,129.93800000000002,0.010406024141976111,0.027691715577792708,0.027490033708383876,0.01710766862311175,-0.0001962474410874826,0.0076564656717327765,0.005981880130091215,0.00038032591004922585,1.3987243021814133,1
2020-01-03 17:00:00,133.97,132.64600000000002,130.225,129.9758,0.009981454397418599,0.028757918986369813,0.030730335954846977,0.018590900364753526,0.0019172799859665801,0.009720710365459243,0.006768483836427571,0.0006605589344830711,1.4029262690533146,0
2020-01-03 18:00:00,133.5,132.781,130.5305,129.9888,0.0054149313531302035,0.02274947234554392,0.027011557918836138,0.017241181179877607,0.004167282104304393,0.008200393315160951,0.007218642694548327,0.0006296812334977098,1.1090529817301544,0
2020-01-03 19:00:00,133.49,132.895,130.8455,130.0118,0.004477218856992371,0.020210859372313372,0.026752956270123196,0.01566351154606016,0.006412494865850604,0.0057516933439287045,0.007181756951794421,0.000567963182440681,1.0039629856952046,0
2020-01-03 20:00:00,133.45,133.036,131.1645,130.04,0.0031119396253644904,0.017424684270515245,0.026222700707474678,0.014268342424970104,0.008647339280221544,0.002940156506792412,0.007214436552121402,0.0004939381023236603,0.900756378207931,0
2020-01-03 21:00:00,132.5,133.04000000000002,131.4875,130.05280000000002,-0.004058929645219589,0.007700351744462264,0.01881697279873995,0.011807206008175752,0.011031673289617627,0.001950580278805059,0.007331619812994067,0.0004923501101635016,0.45100905637827327,1
2020-01-03 22:00:00,133.04,133.121,131.7935,130.07,-0.0006084689868617321,0.009457977821364372,0.022833858691473807,0.01007257565813191,0.013250557392173512,0.001700590691899613,0.007245186116450375,0.00044765167469413826,0.6255877485132605,1
2020-01-03 23:00:00,134.35,133.202,132.1665,130.1214,0.008618489211873692,0.016520827895116996,0.032497344787252525,0.00783481441969025,0.015716861331034115,0.0012477825550978442,0.00763926214791357,0.000625961242694572,1.281708636685822,0
2020-01-04 00:00:00,133.7,133.404,132.3865,130.19,0.0022188240232676737,0.00992170651841362,0.026960596051924135,0.007685828993137411,0.016871495506567413,0.002736019242332951,0.006837151820515265,0.001054956140890305,0.8237480595077916,0
2020-01-04 01:00:00,133.01,133.452,132.57649999999998,130.2348,-0.00331205227347664,0.003269810260491113,0.021309204605834964,0.006603734447658605,0.01798060119107925,0.0024864596870515458,0.005941112422084451,0.0012670100715000679,0.3069946413889321,1
2020-01-04 02:00:00,133.47,133.448,132.79149999999998,130.2908,0.0001648582219291317,0.005109513786650588,0.02440080189852245,0.004943840531961952,0.019193220089215757,0.0018468191168301475,0.004728883642980419,0.0013018611850164233,0.5782964071647155,0
2020-01-04 03:00:00,133.34,133.385,133.0155,130.3546,-0.0003373692694079722,0.0024395653138167273,0.022902145378835836,0.002777871751788341,0.020412781750701603,-0.00014242451500708718,0.004751239741212213,0.0012643060142868668,0.44739316866943646,1
2020-01-04 04:00:00,133.67,133.402,133.0915,130.4336,0.0020089653828279097,0.004346633706885816,0.024812624967799568,0.002332981445095861,0.020377418088590504,-0.00037466654677345687,0.0038845496750933603,0.0015264737228452428,0.8155829540888709,0
2020-01-04 05:00:00,133.66,133.419,133.15699999999998,130.5248,0.0018063394269181021,0.003777495738113812,0.024019956360783468,0.0019676021538486133,0.02016628257618458,-0.00021731311072474942,0.0027524352085788423,0.0017959825252436004,0.7210221120266135,1
2020-01-04 06:00:00,133.95,133.469,133.2525,130.6128,0.00360383309982093,0.005234423369167462,0.025550328911102094,0.001624734995591126,0.020210117232001723,0.0006297559695618187,0.0017817472399832709,0.0019807509669776745,1.0461799702321413,0
2020-01-04 07:00:00,133.91,133.60999999999999,133.325,130.6984,0.0022453409175959838,0.004387774235889763,0.02457260379622106,0.002137633602100175,0.020096649997245475,0.0015591970135380162,0.0017544321012235363,0.0020301517400422874,0.8935011595274118,0
2020-01-04 08:00:00,133.6,133.666,133.3935,130.782,-0.0004937680487184792,0.001548051441786935,0.021547307733480014,0.0020428281737865372,0.019968344267559557,0.0018513105329824513,0.0017760988907831103,0.0019705067542720744,0.3419873168168448,1
