timestamp,close,EMA_12,EMA_26,price_to_EMA_12,price_to_EMA_26,EMA_12_over_26,EMA_12_slope_3,EMA_26_slope_3,zscore_price_to_EMA_12,target
2020-01-01 08:00:00,130.36,129.99530324366185,129.6005958192988,0.002805461022346245,0.005859573221098868,0.0030455679765035715,0.0017419081296736808,0.001493411288728671,0.5063945236164056,0
2020-01-01 09:00:00,130.17,130.02217966771389,129.64277390675815,0.0011368855118709664,0.004066760355043275,0.00292654769349987,0.0011529107026180382,0.0012275118981665274,0.22914563909969443,1
2020-01-01 10:00:00,130.7,130.12645971883484,129.721086950702,0.004407560786671594,0.007546290832962432,0.0031249566100761683,0.0015197914577627237,0.0013991329693130545,0.9750189100914721,1
2020-01-01 11:00:00,130.74,130.2208505313218,129.79656199139072,0.003986684671156704,0.007268590123919116,0.003268873484947976,0.0017350418209892715,0.0015120777096206302,1.014719312974744,1
2020-01-01 12:00:00,131.61,130.43456583419535,129.9308907327692,0.009011676914682631,0.012923095175913613,0.0038764846341434733,0.0031716601547164256,0.0022223901674478844,2.847327681659243,1
2020-01-01 13:00:00,131.68,130.62617109047298,130.0604543821937,0.008067517410405678,0.012452252496728322,0.004349644255561724,0.0038401980098273013,0.002616131574820164,1.991778488295945,1
2020-01-01 14:00:00,131.96,130.83137553809252,130.2011614649942,0.00862655809637114,0.01350862400316366,0.004840310685460203,0.004688381348145782,0.003117181745001114,1.7247743083274796,1
2020-01-01 15:00:00,132.08,131.0234716091552,130.34033468980942,0.008063657433810434,0.013347098688450743,0.005241178189173246,0.004514951778261299,0.0031512441324083114,1.429680714673962,1
2020-01-01 16:00:00,132.85,131.30447597697747,130.52623582389762,0.011770535707354757,0.017803042901179955,0.005962327406191514,0.005192718127171401,0.003581268756259856,1.7205452782464148,0
2020-01-01 17:00:00,132.34,131.46378736513478,130.66058872583113,0.006665049383002941,0.012853235168661437,0.006147214298789283,0.004833793304100287,0.0035285957180993957,0.9453195774867543,0
2020-01-01 18:00:00,132.04,131.55243546280636,130.76276733873254,0.003706237254204936,0.009767556065549243,0.006038937077770923,0.0040371686626429005,0.003240997116728655,0.5342996186425635,0
2020-01-01 19:00:00,131.86,131.59975308391307,130.84404383215977,0.0019775638630643577,0.0077646344310746684,0.005775648853551862,0.0022487969639920988,0.0024348209098048724,0.30875300382754867,1
2020-01-01 20:00:00,132.18,131.68902184023415,130.94300354829608,0.0037283150326798964,0.009446831202766015,0.005697274934303165,0.0017132815021812155,0.0021614384660208637,0.6346346419431586,0
2020-01-01 21:00:00,131.78,131.70301848019812,131.0050032854593,0.0005845083938866846,0.0059157795130311275,0.005328156766790437,0.0011446615705897852,0.001852484095103836,0.12633715571901605,0
2020-01-01 22:00:00,130.27,131.48255409862918,130.9505585976475,-0.009222167206453857,-0.005197065250699295,0.004062567633760672,-0.0008905714679355162,0.0008140589542185245,-1.7609726637449932,1
2020-01-01 23:00:00,130.77,131.37293039114778,130.93718388671067,-0.004589456818483106,-0.0012768251290276034,0.0033279049655912107,-0.002400287014583916,-4.444423472583114e-05,-0.8808540403488998,0
2020-01-02 00:00:00,130.67,131.26478725404812,130.91739248769505,-0.004531201904871773,-0.0018896838914532754,0.0026535417468362965,-0.0033274197600558267,-0.0006687591738259999,-0.7863947986373008,0
2020-01-02 01:00:00,130.15,131.0932815226561,130.86054859971765,-0.0071954985922987325,-0.0054298152294248725,0.0017784804162050971,-0.002960640509622861,-0.0006873586404958761,-1.0718044018154427,0
2020-01-02 02:00:00,129.72,130.88200744224747,130.77606351825708,-0.008878282545904725,-0.00807535790454228,0.0008101170897807375,-0.003736865330160778,-0.001230516524572573,-1.140767809086964,0
2020-01-02 03:00:00,129.1,130.6078524511325,130.65191066505284,-0.011544883579619913,-0.011878208723877126,-0.00033721829015809224,-0.005004653697752208,-0.0020278575489285564,-1.272045179915643,1
