timestamp,close,MACD_line,MACD_signal,MACD_hist,MACD_line_lag_1,MACD_signal_lag_1,MACD_hist_lag_1,MACD_line_lag_2,MACD_signal_lag_2,MACD_hist_lag_2,MACD_line_lag_3,MACD_signal_lag_3,MACD_hist_lag_3,MACD_line_slope_3,MACD_hist_slope_3,MACD_hist_zscore_20,target
2020-01-01 16:00:00,132.85,0.7782401530798495,0.5598051044414002,0.21843504863844931,0.6831369193457704,0.5051963422817878,0.17794057706398259,0.6302140730983297,0.46071119801579213,0.16950287508253753,0.5657167082792682,0.41833547924515774,0.1473812290341105,0.37567114721962264,0.07105381960433882,1.6052578167293556,0
2020-01-01 17:00:00,132.34,0.8031986393036448,0.6084838114138491,0.19471482788979566,0.7782401530798495,0.5598051044414002,0.21843504863844931,0.6831369193457704,0.5051963422817878,0.17794057706398259,0.6302140730983297,0.46071119801579213,0.16950287508253753,0.27448540676800315,0.02521195280725813,1.154466387623835,0
2020-01-01 18:00:00,132.04,0.7896681240738133,0.644720673945842,0.14494745012797128,0.8031986393036448,0.6084838114138491,0.19471482788979566,0.7782401530798495,0.5598051044414002,0.21843504863844931,0.6831369193457704,0.5051963422817878,0.17794057706398259,0.15594414781456428,-0.03299312693601131,0.2858870146913978,0
2020-01-01 19:00:00,131.86,0.7557092517533022,0.6669183895073341,0.0887908622459681,0.7896681240738133,0.644720673945842,0.14494745012797128,0.8031986393036448,0.6084838114138491,0.19471482788979566,0.7782401530798495,0.5598051044414002,0.21843504863844931,-0.0289510907878273,-0.1296441863924812,-0.8181336181334038,1
2020-01-01 20:00:00,132.18,0.7460182919380713,0.6827383699934816,0.06327992194458976,0.7557092517533022,0.6669183895073341,0.0887908622459681,0.7896681240738133,0.644720673945842,0.14494745012797128,0.8031986393036448,0.6084838114138491,0.19471482788979566,-0.07119079212478187,-0.1314349059452059,-1.5138480368387166,0
2020-01-01 21:00:00,131.78,0.6980151947388151,0.6857937349425484,0.012221459796266765,0.7460182919380713,0.6827383699934816,0.06327992194458976,0.7557092517533022,0.6669183895073341,0.0887908622459681,0.7896681240738133,0.644720673945842,0.14494745012797128,-0.11606512475414417,-0.1327259903317045,-2.1567874408973817,0
2020-01-01 22:00:00,130.27,0.5319955009816795,0.6550340881503747,-0.1230385871686952,0.6980151947388151,0.6857937349425484,0.012221459796266765,0.7460182919380713,0.6827383699934816,0.06327992194458976,0.7557092517533022,0.6669183895073341,0.0887908622459681,-0.29603150980696613,-0.2118294494146633,-3.088811578451868,1
2020-01-01 23:00:00,130.77,0.4357465044371054,0.6111765714077209,-0.17543006697061547,0.5319955009816795,0.6550340881503747,-0.1230385871686952,0.6980151947388151,0.6857937349425484,0.012221459796266765,0.7460182919380713,0.6827383699934816,0.06327992194458976,-0.4159037262945857,-0.23870998891520523,-2.753178800316192,0
2020-01-02 00:00:00,130.67,0.3473947663530623,0.5584202103967891,-0.2110254440437268,0.4357465044371054,0.6111765714077209,-0.17543006697061547,0.5319955009816795,0.6550340881503747,-0.1230385871686952,0.6980151947388151,0.6857937349425484,0.012221459796266765,-0.502310595855938,-0.22324690383999357,-2.4307970944735047,0
2020-01-02 01:00:00,130.15,0.23273292293845316,0.49328275290512197,-0.2605498299666688,0.3473947663530623,0.5584202103967891,-0.2110254440437268,0.4357465044371054,0.6111765714077209,-0.17543006697061547,0.5319955009816795,0.6550340881503747,-0.1230385871686952,-0.5625284001293314,-0.1375112427979736,-2.28131839512067,0
