Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost EMA,-22.38725541606331,-23.676552511265204,-2.582638035612939
Rule-based EMA,-73.65151329789023,-78.91364789471234,-3.1695290152290814
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
