Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost MACD,-60.4763866621066,-61.26985173361938,-5.464753640269164
Rule-based MACD,-68.02331639043864,-71.36880571865632,-2.4809708180797436
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
