Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost SMA Long/Short,-69.15249639479933,-70.62649168834216,-5.35147210385206
Rule-based SMA Long/Short,-89.44672504122101,-91.46335271435143,-3.3753595118643336
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
