Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost EMA Long/Short,-18.22380055557491,-18.751368906885446,-2.174802496829285
Rule-based EMA Long/Short,-87.45539863472203,-89.6448943481543,-3.088265555742343
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
