Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost RSI Long/Short,-19.300656420325744,-19.300656420325744,-2.445978052884543
Rule-based RSI Long/Short,-24.13986671052786,-47.610300345308985,-0.15095487315946596
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
