Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost MACD Long/Short,-74.66962636336764,-75.11697598676496,-6.57493215508908
Rule-based MACD Long/Short,-81.52626095075554,-82.44511180914571,-2.4647930717357003
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
