Strategy,Total Return (%),Max Drawdown (%),Sharpe Ratio
XGBoost Volume Long/Short,-89.13149590352928,-89.49117177195072,-8.953475891470719
Rule-based Volume Long/Short,-80.73478649475945,-81.26831494615428,-4.3998860552023284
Buy & Hold,-44.25470991890206,-67.99199463506005,-0.662448606420897
